Time (s);sFiltered 0;Min frequency band;Max frequency band
3.5000000000e+000;9.4083730880e+000;3.9500000000e+001;4.0000000000e+001
3.5000000000e+000;9.4593925991e+000;4.0000000000e+001;4.0500000000e+001
3.5000000000e+000;9.6178300105e+000;4.0500000000e+001;4.1000000000e+001
3.5000000000e+000;9.9555463993e+000;4.1000000000e+001;4.1500000000e+001
3.5000000000e+000;1.0647227743e+001;4.1500000000e+001;4.2000000000e+001
3.5000000000e+000;1.2206197102e+001;4.2000000000e+001;4.2500000000e+001
3.5000000000e+000;1.6826752944e+001;4.2500000000e+001;4.3000000000e+001
3.5000000000e+000;5.4719226243e+001;4.3000000000e+001;4.3500000000e+001
3.5000000000e+000;2.3692093890e+001;4.3500000000e+001;4.4000000000e+001
3.5000000000e+000;1.0364837758e+001;4.4000000000e+001;4.4500000000e+001
3.5000000000e+000;7.8981796627e+000;4.4500000000e+001;4.5000000000e+001
3.5000000000e+000;7.1052817288e+000;4.5000000000e+001;4.5500000000e+001
3.5000000000e+000;6.7626575017e+000;4.5500000000e+001;4.6000000000e+001
3.5000000000e+000;6.5735858368e+000;4.6000000000e+001;4.6500000000e+001
3.5000000000e+000;6.4451369685e+000;4.6500000000e+001;4.7000000000e+001
3.5000000000e+000;6.3430605066e+000;4.7000000000e+001;4.7500000000e+001
3.5000000000e+000;6.2532578942e+000;4.7500000000e+001;4.8000000000e+001
3.5000000000e+000;6.1695202918e+000;4.8000000000e+001;4.8500000000e+001
3.5000000000e+000;6.0890758241e+000;4.8500000000e+001;4.9000000000e+001
3.5000000000e+000;6.0108484508e+000;4.9000000000e+001;4.9500000000e+001
3.5000000000e+000;5.9347991060e+000;4.9500000000e+001;5.0000000000e+001
3.5000000000e+000;5.8618526436e+000;5.0000000000e+001;5.0500000000e+001
3.5000000000e+000;5.7943719413e+000;5.0500000000e+001;5.1000000000e+001
3.5000000000e+000;5.7376452771e+000;5.1000000000e+001;5.1500000000e+001
3.5000000000e+000;5.7040692285e+000;5.1500000000e+001;5.2000000000e+001
3.5000000000e+000;5.7261070176e+000;5.2000000000e+001;5.2500000000e+001
3.5000000000e+000;5.9046529011e+000;5.2500000000e+001;5.3000000000e+001
3.5000000000e+000;6.6489556181e+000;5.3000000000e+001;5.3500000000e+001
3.5000000000e+000;1.0694199466e+001;5.3500000000e+001;5.4000000000e+001
3.5000000000e+000;1.0204119149e+002;5.4000000000e+001;5.4500000000e+001
3.5000000000e+000;1.0977504048e+001;5.4500000000e+001;5.5000000000e+001
3.5000000000e+000;7.5822786465e+000;5.5000000000e+001;5.5500000000e+001
3.5000000000e+000;6.5431432994e+000;5.5500000000e+001;5.6000000000e+001
3.5000000000e+000;6.0502179727e+000;5.6000000000e+001;5.6500000000e+001
3.5000000000e+000;5.7548256425e+000;5.6500000000e+001;5.7000000000e+001
3.5000000000e+000;5.5493877266e+000;5.7000000000e+001;5.7500000000e+001
3.5000000000e+000;5.3912092179e+000;5.7500000000e+001;5.8000000000e+001
3.5000000000e+000;5.2602962813e+000;5.8000000000e+001;5.8500000000e+001
3.5000000000e+000;5.1460503578e+000;5.8500000000e+001;5.9000000000e+001
3.5000000000e+000;5.0422228933e+000;5.9000000000e+001;5.9500000000e+001
3.5000000000e+000;4.9447092378e+000;5.9500000000e+001;6.0000000000e+001
3.5000000000e+000;4.8504509130e+000;6.0000000000e+001;6.0500000000e+001
3.5000000000e+000;4.7567835318e+000;6.0500000000e+001;6.1000000000e+001
3.5000000000e+000;4.6609364748e+000;6.1000000000e+001;6.1500000000e+001
3.5000000000e+000;4.5594763033e+000;6.1500000000e+001;6.2000000000e+001
3.5000000000e+000;4.4474611267e+000;6.2000000000e+001;6.2500000000e+001
3.5000000000e+000;4.3168586571e+000;6.2500000000e+001;6.3000000000e+001
3.5000000000e+000;4.1533156127e+000;6.3000000000e+001;6.3500000000e+001
3.5000000000e+000;3.9308311889e+000;6.3500000000e+001;6.4000000000e+001
3.5000000000e+000;3.6462069435e+000;6.4000000000e+001;6.4500000000e+001
3.5000000000e+000;5.8925122257e+000;6.4500000000e+001;6.5000000000e+001
3.5000000000e+000;1.0611932224e+001;6.5000000000e+001;6.5500000000e+001
3.5000000000e+000;6.2943245613e+000;6.5500000000e+001;6.6000000000e+001
3.5000000000e+000;5.4758369214e+000;6.6000000000e+001;6.6500000000e+001
3.5000000000e+000;5.1196057535e+000;6.6500000000e+001;6.7000000000e+001
3.5000000000e+000;4.9100739504e+000;6.7000000000e+001;6.7500000000e+001
3.5000000000e+000;4.7653787895e+000;6.7500000000e+001;6.8000000000e+001
3.5000000000e+000;4.6551234436e+000;6.8000000000e+001;6.8500000000e+001
3.5000000000e+000;4.5654776363e+000;6.8500000000e+001;6.9000000000e+001
3.5000000000e+000;4.4892535842e+000;6.9000000000e+001;6.9500000000e+001
3.5000000000e+000;4.4223440350e+000;6.9500000000e+001;7.0000000000e+001
3.5000000000e+000;4.3622286925e+000;7.0000000000e+001;7.0500000000e+001
3.5000000000e+000;4.3072734127e+000;7.0500000000e+001;7.1000000000e+001
3.5000000000e+000;4.2563684621e+000;7.1000000000e+001;7.1500000000e+001
3.5000000000e+000;4.2087327386e+000;7.1500000000e+001;7.2000000000e+001
3.5000000000e+000;4.1637985667e+000;7.2000000000e+001;7.2500000000e+001
3.5000000000e+000;4.1211423461e+000;7.2500000000e+001;7.3000000000e+001
3.5000000000e+000;4.0804401840e+000;7.3000000000e+001;7.3500000000e+001
3.5000000000e+000;4.0414396973e+000;7.3500000000e+001;7.4000000000e+001
3.5000000000e+000;4.0039402747e+000;7.4000000000e+001;7.4500000000e+001
3.5000000000e+000;3.9677801745e+000;7.4500000000e+001;7.5000000000e+001
3.5000000000e+000;3.9328267932e+000;7.5000000000e+001;7.5500000000e+001
3.5000000000e+000;3.8989701221e+000;7.5500000000e+001;7.6000000000e+001
3.5000000000e+000;3.8661176994e+000;7.6000000000e+001;7.6500000000e+001
3.5000000000e+000;3.8341910676e+000;7.6500000000e+001;7.7000000000e+001
3.5000000000e+000;3.8031229056e+000;7.7000000000e+001;7.7500000000e+001
3.5000000000e+000;3.7728548815e+000;7.7500000000e+001;7.8000000000e+001
3.5000000000e+000;3.7433361394e+000;7.8000000000e+001;7.8500000000e+001
3.5000000000e+000;3.7145216663e+000;7.8500000000e+001;7.9000000000e+001
3.5000000000e+000;3.6863720032e+000;7.9000000000e+001;7.9500000000e+001
3.5000000000e+000;3.6588516100e+000;7.9500000000e+001;8.0000000000e+001
3.5000000000e+000;3.6319286318e+000;8.0000000000e+001;8.0500000000e+001
3.5000000000e+000;3.6055744200e+000;8.0500000000e+001;8.1000000000e+001
3.5000000000e+000;3.5797628240e+000;8.1000000000e+001;8.1500000000e+001
3.5000000000e+000;3.5544700757e+000;8.1500000000e+001;8.2000000000e+001
3.5000000000e+000;3.5296743514e+000;8.2000000000e+001;8.2500000000e+001
3.5000000000e+000;3.5053557598e+000;8.2500000000e+001;8.3000000000e+001
3.5000000000e+000;3.4814956285e+000;8.3000000000e+001;8.3500000000e+001
3.5000000000e+000;3.4580768735e+000;8.3500000000e+001;8.4000000000e+001
3.5000000000e+000;3.4350835738e+000;8.4000000000e+001;8.4500000000e+001
3.5000000000e+000;3.4125007648e+000;8.4500000000e+001;8.5000000000e+001
3.5000000000e+000;3.3903146218e+000;8.5000000000e+001;8.5500000000e+001
3.5000000000e+000;3.3685120340e+000;8.5500000000e+001;8.6000000000e+001
3.5000000000e+000;3.3470807384e+000;8.6000000000e+001;8.6500000000e+001
3.5000000000e+000;3.3260092214e+000;8.6500000000e+001;8.7000000000e+001
3.5000000000e+000;3.3052865686e+000;8.7000000000e+001;8.7500000000e+001
3.5000000000e+000;3.2849024113e+000;8.7500000000e+001;8.8000000000e+001
3.5000000000e+000;3.2648469957e+000;8.8000000000e+001;8.8500000000e+001
3.5000000000e+000;3.2451110445e+000;8.8500000000e+001;8.9000000000e+001
3.5000000000e+000;3.2256856985e+000;8.9000000000e+001;8.9500000000e+001
3.5000000000e+000;3.2065625756e+000;8.9500000000e+001;9.0000000000e+001
3.5000000000e+000;3.1877336075e+000;9.0000000000e+001;9.0500000000e+001
3.5000000000e+000;3.1691911631e+000;9.0500000000e+001;9.1000000000e+001
3.5000000000e+000;3.1509279099e+000;9.1000000000e+001;9.1500000000e+001
3.5000000000e+000;3.1329368206e+000;9.1500000000e+001;9.2000000000e+001
3.5000000000e+000;3.1152111856e+000;9.2000000000e+001;9.2500000000e+001
3.5000000000e+000;3.0977445872e+000;9.2500000000e+001;9.3000000000e+001
3.5000000000e+000;3.0805307777e+000;9.3000000000e+001;9.3500000000e+001
3.5000000000e+000;3.0635638364e+000;9.3500000000e+001;9.4000000000e+001
3.5000000000e+000;3.0468380126e+000;9.4000000000e+001;9.4500000000e+001
3.5000000000e+000;3.0303479224e+000;9.4500000000e+001;9.5000000000e+001
3.5000000000e+000;3.0140880983e+000;9.5000000000e+001;9.5500000000e+001
3.5000000000e+000;2.9980534858e+000;9.5500000000e+001;9.6000000000e+001
3.5000000000e+000;2.9822391513e+000;9.6000000000e+001;9.6500000000e+001
3.5000000000e+000;2.9666403238e+000;9.6500000000e+001;9.7000000000e+001
3.5000000000e+000;2.9512524035e+000;9.7000000000e+001;9.7500000000e+001
3.5000000000e+000;2.9360709350e+000;9.7500000000e+001;9.8000000000e+001
3.5000000000e+000;2.9210915778e+000;9.8000000000e+001;9.8500000000e+001
3.5000000000e+000;2.9063102492e+000;9.8500000000e+001;9.9000000000e+001
3.5000000000e+000;2.8917228519e+000;9.9000000000e+001;9.9500000000e+001
3.5000000000e+000;2.8773254914e+000;9.9500000000e+001;1.0000000000e+002
3.5000000000e+000;2.8631143824e+000;1.0000000000e+002;1.0050000000e+002
3.5000000000e+000;2.8490858547e+000;1.0050000000e+002;1.0100000000e+002
3.5000000000e+000;2.8352363534e+000;1.0100000000e+002;1.0150000000e+002
3.5000000000e+000;2.8215624109e+000;1.0150000000e+002;1.0200000000e+002
3.5000000000e+000;2.8080606771e+000;1.0200000000e+002;1.0250000000e+002
3.5000000000e+000;2.7947278784e+000;1.0250000000e+002;1.0300000000e+002
3.5000000000e+000;2.7815608824e+000;1.0300000000e+002;1.0350000000e+002
3.5000000000e+000;2.7685565867e+000;1.0350000000e+002;1.0400000000e+002
3.5000000000e+000;2.7557120056e+000;1.0400000000e+002;1.0450000000e+002
3.5000000000e+000;2.7430242506e+000;1.0450000000e+002;1.0500000000e+002
3.5000000000e+000;2.7304904561e+000;1.0500000000e+002;1.0550000000e+002
3.5000000000e+000;2.7181078860e+000;1.0550000000e+002;1.0600000000e+002
3.5000000000e+000;2.7058738633e+000;1.0600000000e+002;1.0650000000e+002
3.5000000000e+000;2.6937857700e+000;1.0650000000e+002;1.0700000000e+002
3.5000000000e+000;2.6818410615e+000;1.0700000000e+002;1.0750000000e+002
3.5000000000e+000;2.6700372699e+000;1.0750000000e+002;1.0800000000e+002
3.5000000000e+000;2.6583719779e+000;1.0800000000e+002;1.0850000000e+002
3.5000000000e+000;2.6468428246e+000;1.0850000000e+002;1.0900000000e+002
3.5000000000e+000;2.6354475186e+000;1.0900000000e+002;1.0950000000e+002
3.5000000000e+000;2.6241838279e+000;1.0950000000e+002;1.1000000000e+002
3.5000000000e+000;2.6130495685e+000;1.1000000000e+002;1.1050000000e+002
3.5000000000e+000;2.6020426082e+000;1.1050000000e+002;1.1100000000e+002
3.5000000000e+000;2.5911608623e+000;1.1100000000e+002;1.1150000000e+002
3.5000000000e+000;2.5804023094e+000;1.1150000000e+002;1.1200000000e+002
3.5000000000e+000;2.5697649575e+000;1.1200000000e+002;1.1250000000e+002
3.5000000000e+000;2.5592468948e+000;1.1250000000e+002;1.1300000000e+002
3.5000000000e+000;2.5488462160e+000;1.1300000000e+002;1.1350000000e+002
3.5000000000e+000;2.5385610693e+000;1.1350000000e+002;1.1400000000e+002
3.5000000000e+000;2.5283896612e+000;1.1400000000e+002;1.1450000000e+002
3.5000000000e+000;2.5183302256e+000;1.1450000000e+002;1.1500000000e+002
3.5000000000e+000;2.5083810417e+000;1.1500000000e+002;1.1550000000e+002
3.5000000000e+000;2.4985404224e+000;1.1550000000e+002;1.1600000000e+002
3.5000000000e+000;2.4888067160e+000;1.1600000000e+002;1.1650000000e+002
3.5000000000e+000;2.4791783134e+000;1.1650000000e+002;1.1700000000e+002
3.5000000000e+000;2.4696536467e+000;1.1700000000e+002;1.1750000000e+002
3.5000000000e+000;2.4602311672e+000;1.1750000000e+002;1.1800000000e+002
3.5000000000e+000;2.4509093607e+000;1.1800000000e+002;1.1850000000e+002
3.5000000000e+000;2.4416867715e+000;1.1850000000e+002;1.1900000000e+002
3.5000000000e+000;2.4325619322e+000;1.1900000000e+002;1.1950000000e+002
3.5000000000e+000;2.4235334352e+000;1.1950000000e+002;1.2000000000e+002
3.5000000000e+000;2.4145998986e+000;1.2000000000e+002;1.2050000000e+002
3.5000000000e+000;2.4057599643e+000;1.2050000000e+002;1.2100000000e+002
3.5000000000e+000;2.3970123053e+000;1.2100000000e+002;1.2150000000e+002
3.5000000000e+000;2.3883556201e+000;1.2150000000e+002;1.2200000000e+002
3.5000000000e+000;2.3797886271e+000;1.2200000000e+002;1.2250000000e+002
3.5000000000e+000;2.3713101020e+000;1.2250000000e+002;1.2300000000e+002
3.5000000000e+000;2.3629187945e+000;1.2300000000e+002;1.2350000000e+002
3.5000000000e+000;2.3546135170e+000;1.2350000000e+002;1.2400000000e+002
3.5000000000e+000;2.3463930979e+000;1.2400000000e+002;1.2450000000e+002
3.5000000000e+000;2.3382563673e+000;1.2450000000e+002;1.2500000000e+002
3.5000000000e+000;2.3302022181e+000;1.2500000000e+002;1.2550000000e+002
3.5000000000e+000;2.3222295331e+000;1.2550000000e+002;1.2600000000e+002
3.5000000000e+000;2.3143372318e+000;1.2600000000e+002;1.2650000000e+002
3.5000000000e+000;2.3065242330e+000;1.2650000000e+002;1.2700000000e+002
3.5000000000e+000;2.2987895167e+000;1.2700000000e+002;1.2750000000e+002
3.5000000000e+000;2.2911320435e+000;1.2750000000e+002;1.2800000000e+002
3.5000000000e+000;2.2835508191e+000;1.2800000000e+002;1.2850000000e+002
3.5000000000e+000;2.2760448357e+000;1.2850000000e+002;1.2900000000e+002
3.5000000000e+000;2.2686131480e+000;1.2900000000e+002;1.2950000000e+002
3.5000000000e+000;2.2612547994e+000;1.2950000000e+002;1.3000000000e+002
3.5000000000e+000;2.2539688555e+000;1.3000000000e+002;1.3050000000e+002
3.5000000000e+000;2.2467544001e+000;1.3050000000e+002;1.3100000000e+002
3.5000000000e+000;2.2396105440e+000;1.3100000000e+002;1.3150000000e+002
3.5000000000e+000;2.2325363991e+000;1.3150000000e+002;1.3200000000e+002
3.5000000000e+000;2.2255311030e+000;1.3200000000e+002;1.3250000000e+002
3.5000000000e+000;2.2185938006e+000;1.3250000000e+002;1.3300000000e+002
3.5000000000e+000;2.2117236614e+000;1.3300000000e+002;1.3350000000e+002
3.5000000000e+000;2.2049198677e+000;1.3350000000e+002;1.3400000000e+002
3.5000000000e+000;2.1981816126e+000;1.3400000000e+002;1.3450000000e+002
3.5000000000e+000;2.1915081021e+000;1.3450000000e+002;1.3500000000e+002
3.5000000000e+000;2.1848985645e+000;1.3500000000e+002;1.3550000000e+002
3.5000000000e+000;2.1783522334e+000;1.3550000000e+002;1.3600000000e+002
3.5000000000e+000;2.1718683599e+000;1.3600000000e+002;1.3650000000e+002
3.5000000000e+000;2.1654462102e+000;1.3650000000e+002;1.3700000000e+002
3.5000000000e+000;2.1590850542e+000;1.3700000000e+002;1.3750000000e+002
3.5000000000e+000;2.1527841855e+000;1.3750000000e+002;1.3800000000e+002
3.5000000000e+000;2.1465429027e+000;1.3800000000e+002;1.3850000000e+002
3.5000000000e+000;2.1403605146e+000;1.3850000000e+002;1.3900000000e+002
3.5000000000e+000;2.1342363513e+000;1.3900000000e+002;1.3950000000e+002
3.5000000000e+000;2.1281697462e+000;1.3950000000e+002;1.4000000000e+002
3.5000000000e+000;2.1221600467e+000;1.4000000000e+002;1.4050000000e+002
3.5000000000e+000;2.1162066087e+000;1.4050000000e+002;1.4100000000e+002
3.5000000000e+000;2.1103088028e+000;1.4100000000e+002;1.4150000000e+002
3.5000000000e+000;2.1044660060e+000;1.4150000000e+002;1.4200000000e+002
3.5000000000e+000;2.0986776127e+000;1.4200000000e+002;1.4250000000e+002
3.5000000000e+000;2.0929430109e+000;1.4250000000e+002;1.4300000000e+002
3.5000000000e+000;2.0872616196e+000;1.4300000000e+002;1.4350000000e+002
3.5000000000e+000;2.0816328560e+000;1.4350000000e+002;1.4400000000e+002
3.5000000000e+000;2.0760561484e+000;1.4400000000e+002;1.4450000000e+002
3.5000000000e+000;2.0705309280e+000;1.4450000000e+002;1.4500000000e+002
3.5000000000e+000;2.0650566500e+000;1.4500000000e+002;1.4550000000e+002
3.5000000000e+000;2.0596327654e+000;1.4550000000e+002;1.4600000000e+002
3.5000000000e+000;2.0542587406e+000;1.4600000000e+002;1.4650000000e+002
3.5000000000e+000;2.0489340456e+000;1.4650000000e+002;1.4700000000e+002
3.5000000000e+000;2.0436581629e+000;1.4700000000e+002;1.4750000000e+002
3.5000000000e+000;2.0384305823e+000;1.4750000000e+002;1.4800000000e+002
3.5000000000e+000;2.0332508012e+000;1.4800000000e+002;1.4850000000e+002
3.5000000000e+000;2.0281183242e+000;1.4850000000e+002;1.4900000000e+002
3.5000000000e+000;2.0230326639e+000;1.4900000000e+002;1.4950000000e+002
3.5000000000e+000;2.0179933423e+000;1.4950000000e+002;1.5000000000e+002
3.5000000000e+000;2.0129998838e+000;1.5000000000e+002;1.5050000000e+002
3.5000000000e+000;2.0080518314e+000;1.5050000000e+002;1.5100000000e+002
3.5000000000e+000;2.0031487210e+000;1.5100000000e+002;1.5150000000e+002
3.5000000000e+000;1.9982901031e+000;1.5150000000e+002;1.5200000000e+002
3.5000000000e+000;1.9934755360e+000;1.5200000000e+002;1.5250000000e+002
3.5000000000e+000;1.9887045834e+000;1.5250000000e+002;1.5300000000e+002
3.5000000000e+000;1.9839768122e+000;1.5300000000e+002;1.5350000000e+002
3.5000000000e+000;1.9792918004e+000;1.5350000000e+002;1.5400000000e+002
3.5000000000e+000;1.9746491321e+000;1.5400000000e+002;1.5450000000e+002
3.5000000000e+000;1.9700483941e+000;1.5450000000e+002;1.5500000000e+002
3.5000000000e+000;1.9654891826e+000;1.5500000000e+002;1.5550000000e+002
3.5000000000e+000;1.9609710994e+000;1.5550000000e+002;1.5600000000e+002
3.5000000000e+000;1.9564937521e+000;1.5600000000e+002;1.5650000000e+002
3.5000000000e+000;1.9520567519e+000;1.5650000000e+002;1.5700000000e+002
3.5000000000e+000;1.9476597198e+000;1.5700000000e+002;1.5750000000e+002
3.5000000000e+000;1.9433022787e+000;1.5750000000e+002;1.5800000000e+002
3.5000000000e+000;1.9389840586e+000;1.5800000000e+002;1.5850000000e+002
3.5000000000e+000;1.9347046977e+000;1.5850000000e+002;1.5900000000e+002
3.5000000000e+000;1.9304638335e+000;1.5900000000e+002;1.5950000000e+002
3.5000000000e+000;1.9262611135e+000;1.5950000000e+002;1.6000000000e+002
3.5000000000e+000;1.9220961900e+000;1.6000000000e+002;1.6050000000e+002
3.5000000000e+000;1.9179687163e+000;1.6050000000e+002;1.6100000000e+002
3.5000000000e+000;1.9138783560e+000;1.6100000000e+002;1.6150000000e+002
3.5000000000e+000;1.9098247737e+000;1.6150000000e+002;1.6200000000e+002
3.5000000000e+000;1.9058076428e+000;1.6200000000e+002;1.6250000000e+002
3.5000000000e+000;1.9018266364e+000;1.6250000000e+002;1.6300000000e+002
3.5000000000e+000;1.8978814360e+000;1.6300000000e+002;1.6350000000e+002
3.5000000000e+000;1.8939717263e+000;1.6350000000e+002;1.6400000000e+002
3.5000000000e+000;1.8900971968e+000;1.6400000000e+002;1.6450000000e+002
3.5000000000e+000;1.8862575423e+000;1.6450000000e+002;1.6500000000e+002
3.5000000000e+000;1.8824524591e+000;1.6500000000e+002;1.6550000000e+002
3.5000000000e+000;1.8786816507e+000;1.6550000000e+002;1.6600000000e+002
3.5000000000e+000;1.8749448240e+000;1.6600000000e+002;1.6650000000e+002
3.5000000000e+000;1.8712416884e+000;1.6650000000e+002;1.6700000000e+002
3.5000000000e+000;1.8675719605e+000;1.6700000000e+002;1.6750000000e+002
3.5000000000e+000;1.8639353581e+000;1.6750000000e+002;1.6800000000e+002
3.5000000000e+000;1.8603316036e+000;1.6800000000e+002;1.6850000000e+002
3.5000000000e+000;1.8567604255e+000;1.6850000000e+002;1.6900000000e+002
3.5000000000e+000;1.8532215527e+000;1.6900000000e+002;1.6950000000e+002
3.5000000000e+000;1.8497147198e+000;1.6950000000e+002;1.7000000000e+002
3.5000000000e+000;1.8462396644e+000;1.7000000000e+002;1.7050000000e+002
3.5000000000e+000;1.8427961291e+000;1.7050000000e+002;1.7100000000e+002
3.5000000000e+000;1.8393838578e+000;1.7100000000e+002;1.7150000000e+002
3.5000000000e+000;1.8360025998e+000;1.7150000000e+002;1.7200000000e+002
3.5000000000e+000;1.8326521072e+000;1.7200000000e+002;1.7250000000e+002
3.5000000000e+000;1.8293321352e+000;1.7250000000e+002;1.7300000000e+002
3.5000000000e+000;1.8260424426e+000;1.7300000000e+002;1.7350000000e+002
